datetime,stock_code_equity,exchange_code_equity,product_type_equity,expiry_date_equity,right_equity,strike_price_equity,open_equity,high_equity,low_equity,close_equity,volume_equity,open_interest_equity,count_equity,stock_code_futures,exchange_code_futures,product_type_futures,expiry_date_futures,right_futures,strike_price_futures,open_futures,high_futures,low_futures,close_futures,volume_futures,open_interest_futures,count_futures,call_open_interest,put_open_interest
2022-01-07 07:40:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,0,,,,,,,,,,,,,,,
2022-01-07 07:45:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,1,,,,,,,,,,,,,,,
2022-01-07 07:50:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,2,,,,,,,,,,,,,,,
2022-01-07 07:55:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,3,,,,,,,,,,,,,,,
2022-01-07 08:00:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,4,,,,,,,,,,,,,,,
2022-01-07 08:05:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,5,,,,,,,,,,,,,,,
2022-01-07 08:10:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,6,,,,,,,,,,,,,,,
2022-01-07 08:15:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,7,,,,,,,,,,,,,,,
2022-01-07 08:20:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,8,,,,,,,,,,,,,,,
2022-01-07 08:25:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,9,,,,,,,,,,,,,,,
2022-01-07 08:30:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,10,,,,,,,,,,,,,,,
2022-01-07 08:35:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,11,,,,,,,,,,,,,,,
2022-01-07 08:40:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,12,,,,,,,,,,,,,,,
2022-01-07 08:45:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,13,,,,,,,,,,,,,,,
2022-01-07 08:50:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,14,,,,,,,,,,,,,,,
2022-01-07 08:55:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,15,,,,,,,,,,,,,,,
2022-01-07 09:00:00,NIFTY,NSE,,,,,15780.25,15780.25,15169.75,15521.35,,,16,,,,,,,,,,,,,,,
2022-01-07 09:05:00,NIFTY,NSE,,,,,15525.4,15714.5,15477.9,15698.7,,,17,,,,,,,,,,,,,,,
2022-01-07 09:10:00,NIFTY,NSE,,,,,15699.95,15710.6,15679.65,15703.7,,,18,,,,,,,,,,,,,,,
2022-01-07 09:15:00,NIFTY,NSE,,,,,15703.7,15703.7,15662.55,15677.05,,,19,,,,,,,,,,,,,,,
2022-01-07 09:20:00,NIFTY,NSE,,,,,15677.0,15700.15,15651.35,15692.25,,,20,,,,,,,,,,,,,,,
2022-01-07 09:25:00,NIFTY,NSE,,,,,15693.95,15719.45,15683.0,15717.45,,,21,,,,,,,,,,,,,,,
2022-01-07 09:30:00,NIFTY,NSE,,,,,15715.7,15717.3,15681.05,15687.65,,,22,,,,,,,,,,,,,,,
2022-01-07 09:35:00,NIFTY,NSE,,,,,15687.25,15699.75,15685.2,15691.55,,,23,,,,,,,,,,,,,,,
2022-01-07 09:40:00,NIFTY,NSE,,,,,15690.95,15695.45,15656.1,15656.7,,,24,,,,,,,,,,,,,,,
2022-01-07 09:45:00,NIFTY,NSE,,,,,15656.75,15659.9,15629.45,15637.35,,,25,,,,,,,,,,,,,,,
2022-01-07 09:50:00,NIFTY,NSE,,,,,15636.3,15647.7,15627.05,15647.3,,,26,,,,,,,,,,,,,,,
2022-01-07 09:55:00,NIFTY,NSE,,,,,15647.05,15650.65,15614.0,15616.9,,,27,,,,,,,,,,,,,,,
2022-01-07 10:00:00,NIFTY,NSE,,,,,15614.85,15624.6,15606.5,15623.0,,,28,,,,,,,,,,,,,,,
2022-01-07 10:05:00,NIFTY,NSE,,,,,15622.65,15631.9,15582.65,15582.65,,,29,,,,,,,,,,,,,,,
2022-01-07 10:10:00,NIFTY,NSE,,,,,15585.8,15589.75,15527.75,15547.25,,,30,,,,,,,,,,,,,,,
2022-01-07 10:15:00,NIFTY,NSE,,,,,15547.8,15559.15,15541.45,15552.75,,,31,,,,,,,,,,,,,,,
2022-01-07 10:20:00,NIFTY,NSE,,,,,15552.5,15552.5,15511.85,15536.9,,,32,,,,,,,,,,,,,,,
2022-01-07 10:25:00,NIFTY,NSE,,,,,15537.45,15592.45,15535.0,15584.0,,,33,,,,,,,,,,,,,,,
2022-01-07 10:30:00,NIFTY,NSE,,,,,15583.9,15609.5,15575.1,15603.3,,,34,,,,,,,,,,,,,,,
2022-01-07 10:35:00,NIFTY,NSE,,,,,15603.0,15621.3,15594.3,15607.85,,,35,,,,,,,,,,,,,,,
2022-01-07 10:40:00,NIFTY,NSE,,,,,15607.25,15630.2,15605.8,15615.45,,,36,,,,,,,,,,,,,,,
2022-01-07 10:45:00,NIFTY,NSE,,,,,15615.5,15626.75,15606.85,15611.4,,,37,,,,,,,,,,,,,,,
2022-01-07 10:50:00,NIFTY,NSE,,,,,15610.7,15612.05,15595.1,15605.5,,,38,,,,,,,,,,,,,,,
2022-01-07 10:55:00,NIFTY,NSE,,,,,15607.35,15625.5,15604.0,15625.5,,,39,,,,,,,,,,,,,,,
2022-01-07 11:00:00,NIFTY,NSE,,,,,15624.85,15631.05,15615.2,15618.85,,,40,,,,,,,,,,,,,,,
2022-01-07 11:05:00,NIFTY,NSE,,,,,15618.05,15621.8,15607.55,15614.9,,,41,,,,,,,,,,,,,,,
2022-01-07 11:10:00,NIFTY,NSE,,,,,15614.35,15616.55,15603.2,15608.75,,,42,,,,,,,,,,,,,,,
2022-01-07 11:15:00,NIFTY,NSE,,,,,15608.1,15635.4,15608.0,15635.4,,,43,,,,,,,,,,,,,,,
2022-01-07 11:20:00,NIFTY,NSE,,,,,15635.45,15648.55,15635.45,15644.8,,,44,,,,,,,,,,,,,,,
2022-01-07 11:25:00,NIFTY,NSE,,,,,15644.9,15647.95,15638.8,15641.45,,,45,,,,,,,,,,,,,,,
2022-01-07 11:30:00,NIFTY,NSE,,,,,15641.1,15648.6,15630.8,15632.05,,,46,,,,,,,,,,,,,,,
2022-01-07 11:35:00,NIFTY,NSE,,,,,15632.15,15634.8,15614.5,15616.7,,,47,,,,,,,,,,,,,,,
2022-01-07 11:40:00,NIFTY,NSE,,,,,15616.35,15616.35,15609.05,15610.3,,,48,,,,,,,,,,,,,,,
2022-01-07 11:45:00,NIFTY,NSE,,,,,15611.4,15628.8,15611.4,15612.6,,,49,,,,,,,,,,,,,,,
2022-01-07 11:50:00,NIFTY,NSE,,,,,15611.9,15611.95,15593.95,15599.5,,,50,,,,,,,,,,,,,,,
2022-01-07 11:55:00,NIFTY,NSE,,,,,15599.6,15608.55,15590.6,15607.65,,,51,,,,,,,,,,,,,,,
2022-01-07 12:00:00,NIFTY,NSE,,,,,15607.45,15638.05,15605.55,15633.5,,,52,,,,,,,,,,,,,,,
2022-01-07 12:05:00,NIFTY,NSE,,,,,15632.85,15645.25,15628.15,15642.05,,,53,,,,,,,,,,,,,,,
2022-01-07 12:10:00,NIFTY,NSE,,,,,15641.5,15641.65,15632.3,15636.25,,,54,,,,,,,,,,,,,,,
2022-01-07 12:15:00,NIFTY,NSE,,,,,15635.9,15639.55,15626.85,15638.35,,,55,,,,,,,,,,,,,,,
2022-01-07 12:20:00,NIFTY,NSE,,,,,15638.7,15659.4,15638.15,15653.6,,,56,,,,,,,,,,,,,,,
2022-01-07 12:25:00,NIFTY,NSE,,,,,15653.7,15662.9,15649.65,15652.9,,,57,,,,,,,,,,,,,,,
2022-01-07 12:30:00,NIFTY,NSE,,,,,15652.55,15653.15,15641.1,15642.25,,,58,,,,,,,,,,,,,,,
2022-01-07 12:35:00,NIFTY,NSE,,,,,15642.75,15642.75,15627.35,15642.35,,,59,,,,,,,,,,,,,,,
2022-01-07 12:40:00,NIFTY,NSE,,,,,15643.1,15658.25,15643.1,15653.8,,,60,,,,,,,,,,,,,,,
2022-01-07 12:45:00,NIFTY,NSE,,,,,15653.0,15654.55,15637.85,15637.85,,,61,,,,,,,,,,,,,,,
2022-01-07 12:50:00,NIFTY,NSE,,,,,15637.4,15641.5,15631.15,15640.15,,,62,,,,,,,,,,,,,,,
2022-01-07 12:55:00,NIFTY,NSE,,,,,15639.6,15650.8,15639.25,15649.8,,,63,,,,,,,,,,,,,,,
2022-01-07 13:00:00,NIFTY,NSE,,,,,15652.35,15666.2,15645.05,15665.35,,,64,,,,,,,,,,,,,,,
2022-01-07 13:05:00,NIFTY,NSE,,,,,15666.75,15677.8,15663.85,15671.8,,,65,,,,,,,,,,,,,,,
2022-01-07 13:10:00,NIFTY,NSE,,,,,15671.8,15697.9,15668.4,15688.75,,,66,,,,,,,,,,,,,,,
2022-01-07 13:15:00,NIFTY,NSE,,,,,15688.75,15691.8,15680.05,15684.0,,,67,,,,,,,,,,,,,,,
2022-01-07 13:20:00,NIFTY,NSE,,,,,15685.05,15685.95,15671.65,15678.35,,,68,,,,,,,,,,,,,,,
2022-01-07 13:25:00,NIFTY,NSE,,,,,15678.0,15702.05,15677.35,15687.2,,,69,,,,,,,,,,,,,,,
2022-01-07 13:30:00,NIFTY,NSE,,,,,15687.1,15687.1,15669.55,15676.2,,,70,,,,,,,,,,,,,,,
2022-01-07 13:35:00,NIFTY,NSE,,,,,15675.8,15677.55,15660.0,15664.0,,,71,,,,,,,,,,,,,,,
2022-01-07 13:40:00,NIFTY,NSE,,,,,15664.45,15676.05,15647.45,15676.05,,,72,,,,,,,,,,,,,,,
2022-01-07 13:45:00,NIFTY,NSE,,,,,15675.95,15691.1,15673.4,15686.9,,,73,,,,,,,,,,,,,,,
2022-01-07 13:50:00,NIFTY,NSE,,,,,15687.05,15688.55,15677.8,15679.1,,,74,,,,,,,,,,,,,,,
2022-01-07 13:55:00,NIFTY,NSE,,,,,15679.35,15695.85,15677.55,15678.85,,,75,,,,,,,,,,,,,,,
2022-01-07 14:00:00,NIFTY,NSE,,,,,15679.35,15682.35,15663.5,15671.45,,,76,,,,,,,,,,,,,,,
2022-01-07 14:05:00,NIFTY,NSE,,,,,15671.65,15684.25,15662.3,15683.05,,,77,,,,,,,,,,,,,,,
2022-01-07 14:10:00,NIFTY,NSE,,,,,15682.75,15683.25,15657.9,15657.9,,,78,,,,,,,,,,,,,,,
2022-01-07 14:15:00,NIFTY,NSE,,,,,15658.05,15674.7,15644.4,15652.95,,,79,,,,,,,,,,,,,,,
2022-01-07 14:20:00,NIFTY,NSE,,,,,15652.65,15669.2,15644.1,15648.5,,,80,,,,,,,,,,,,,,,
2022-01-07 14:25:00,NIFTY,NSE,,,,,15648.75,15660.1,15637.8,15652.7,,,81,,,,,,,,,,,,,,,
2022-01-07 14:30:00,NIFTY,NSE,,,,,15652.75,15658.7,15647.4,15649.25,,,82,,,,,,,,,,,,,,,
2022-01-07 14:35:00,NIFTY,NSE,,,,,15648.95,15670.3,15634.0,15663.65,,,83,,,,,,,,,,,,,,,
2022-01-07 14:40:00,NIFTY,NSE,,,,,15664.4,15686.9,15664.4,15686.65,,,84,,,,,,,,,,,,,,,
2022-01-07 14:45:00,NIFTY,NSE,,,,,15686.25,15713.0,15677.35,15704.9,,,85,,,,,,,,,,,,,,,
2022-01-07 14:50:00,NIFTY,NSE,,,,,15704.9,15727.65,15701.5,15703.2,,,86,,,,,,,,,,,,,,,
2022-01-07 14:55:00,NIFTY,NSE,,,,,15702.75,15723.8,15700.4,15719.25,,,87,,,,,,,,,,,,,,,
2022-01-07 15:00:00,NIFTY,NSE,,,,,15719.6,15722.25,15697.5,15697.5,,,88,,,,,,,,,,,,,,,
2022-01-07 15:05:00,NIFTY,NSE,,,,,15697.05,15716.5,15691.65,15716.4,,,89,,,,,,,,,,,,,,,
2022-01-07 15:10:00,NIFTY,NSE,,,,,15717.15,15741.8,15717.15,15741.55,,,90,,,,,,,,,,,,,,,
2022-01-07 15:15:00,NIFTY,NSE,,,,,15741.35,15760.5,15741.35,15753.0,,,91,,,,,,,,,,,,,,,
2022-01-07 15:20:00,NIFTY,NSE,,,,,15752.75,15772.55,15748.75,15771.25,,,92,,,,,,,,,,,,,,,
2022-01-07 15:25:00,NIFTY,NSE,,,,,15772.8,15784.8,15770.0,15783.85,,,93,,,,,,,,,,,,,,,
2022-01-07 15:30:00,NIFTY,NSE,,,,,15784.1,15791.7,15757.7,15766.6,,,94,,,,,,,,,,,,,,,
2022-01-07 15:35:00,NIFTY,NSE,,,,,15766.6,15766.6,15752.05,15752.05,,,95,,,,,,,,,,,,,,,
2022-01-07 15:40:00,NIFTY,NSE,,,,,15752.05,15752.05,15752.05,15752.05,,,96,,,,,,,,,,,,,,,
2022-01-07 15:45:00,NIFTY,NSE,,,,,15752.05,15752.05,15752.05,15752.05,,,97,,,,,,,,,,,,,,,
2022-01-07 15:50:00,NIFTY,NSE,,,,,15752.05,15752.05,15752.05,15752.05,,,98,,,,,,,,,,,,,,,
2022-01-07 15:55:00,NIFTY,NSE,,,,,15752.05,15752.05,15752.05,15752.05,,,99,,,,,,,,,,,,,,,
2022-01-07 16:00:00,NIFTY,NSE,,,,,15752.05,15752.05,15752.05,15752.05,,,100,,,,,,,,,,,,,,,
