,datetime,stock_code,exchange_code,product_type,expiry_date,right_call,strike_price,call_open,call_high,call_low,call_close,call_volume,call_open_interest,count,right_put,put_open,put_high,put_low,put_close,put_volume,put_open_interest
0,23-09-2022 09:15,NIFTY,NFO,Options,29-Sep-22,Call,16700,932.15,932.15,932.15,932.15,0,45600,0,Put,7.25,9.75,7.25,7.75,164700,1713500
1,23-09-2022 09:16,NIFTY,NFO,Options,29-Sep-22,Call,16700,893.7,893.7,893.7,893.7,0,45600,1,Put,7.8,8.85,7.8,8.75,109000,1713500
2,23-09-2022 09:17,NIFTY,NFO,Options,29-Sep-22,Call,16700,859.5,875.65,859.5,875.65,200,45600,2,Put,8.85,9.1,8.6,8.85,186050,1755050
3,23-09-2022 09:18,NIFTY,NFO,Options,29-Sep-22,Call,16700,856,856,856,856,0,45600,3,Put,8.9,9.4,8.75,8.9,170950,1755050
4,23-09-2022 09:19,NIFTY,NFO,Options,29-Sep-22,Call,16700,855.75,870.9,855.75,869.5,1000,45600,4,Put,9,9,8.3,8.4,120650,1755050
5,23-09-2022 09:15,NIFTY,NFO,Options,29-Sep-22,Call,16800,825.05,844,825.05,844,450,77150,0,Put,11.65,13.65,10.5,10.8,469100,1902200
6,23-09-2022 09:16,NIFTY,NFO,Options,29-Sep-22,Call,16800,791.2,800.25,779.6,781.5,1550,77150,1,Put,10.95,12.75,10.95,12.65,228150,1902200
7,23-09-2022 09:17,NIFTY,NFO,Options,29-Sep-22,Call,16800,774.05,780,768.1,773.35,1000,75850,2,Put,12.95,13.15,12.35,12.8,238450,2109800
8,23-09-2022 09:18,NIFTY,NFO,Options,29-Sep-22,Call,16800,758.45,759.15,758.45,758.85,800,75850,3,Put,12.75,13.8,12.75,13.2,203050,2109800
9,23-09-2022 09:19,NIFTY,NFO,Options,29-Sep-22,Call,16800,757.2,770,757.2,770,250,75850,4,Put,13.25,13.25,12.15,12.15,129900,2109800
10,23-09-2022 09:20,NIFTY,NFO,Options,29-Sep-22,Call,16800,775.4,775.4,757.6,759.6,250,74500,5,Put,11.8,13.15,11.8,12.95,144300,2218900
11,23-09-2022 09:15,NIFTY,NFO,Options,29-Sep-22,Call,16900,690.15,746.65,690.15,746.65,1100,36100,0,Put,15.25,18.95,15.25,15.5,405600,1752950
12,23-09-2022 09:16,NIFTY,NFO,Options,29-Sep-22,Call,16900,730.45,730.45,709.4,709.4,150,36100,1,Put,15.65,18.9,15.65,18.55,205650,1752950
13,23-09-2022 09:17,NIFTY,NFO,Options,29-Sep-22,Call,16900,675,685.05,675,685.05,200,36150,2,Put,19.05,19.15,17.95,18.75,202000,1955800
14,23-09-2022 09:18,NIFTY,NFO,Options,29-Sep-22,Call,16900,668.95,674.2,668.95,674.2,100,36150,3,Put,18.7,20.45,18.7,19.75,307000,1955800
15,23-09-2022 09:19,NIFTY,NFO,Options,29-Sep-22,Call,16900,666.55,666.55,666.55,666.55,0,36150,4,Put,19.55,19.55,17.75,17.75,116900,1955800
16,23-09-2022 09:20,NIFTY,NFO,Options,29-Sep-22,Call,16900,661.95,661.95,661.95,661.95,0,36100,5,Put,18.2,19.45,18.2,19.2,103450,2054300
17,23-09-2022 09:15,NIFTY,NFO,Options,29-Sep-22,Call,17000,601.75,655.85,601.75,651.55,19500,602650,0,Put,26.9,26.9,22.25,22.25,559950,4576550
18,23-09-2022 09:16,NIFTY,NFO,Options,29-Sep-22,Call,17000,640.25,640.25,595,595,6250,602650,1,Put,22.7,27.4,22.7,26.9,476000,4576550
19,23-09-2022 09:17,NIFTY,NFO,Options,29-Sep-22,Call,17000,590,595,582.8,589.95,3600,603850,2,Put,27.65,28.1,26.45,27.05,300500,4764000
20,23-09-2022 09:18,NIFTY,NFO,Options,29-Sep-22,Call,17000,587.4,587.4,571.3,577.3,2950,603850,3,Put,27.3,29.8,27.2,28.8,428200,4764000
21,23-09-2022 09:19,NIFTY,NFO,Options,29-Sep-22,Call,17000,575.25,592.45,575.25,592.45,2700,603850,4,Put,28.7,28.7,26,26,225400,4764000
22,23-09-2022 09:20,NIFTY,NFO,Options,29-Sep-22,Call,17000,585,585,571.5,574.25,2050,602500,5,Put,26.05,28.5,26.05,28.2,284900,4935400
23,23-09-2022 09:21,NIFTY,NFO,Options,29-Sep-22,Call,17000,576.2,583.25,574.2,578.45,2600,602500,6,Put,27.95,28.5,27.15,27.15,182750,4935400
24,23-09-2022 09:22,NIFTY,NFO,Options,29-Sep-22,Call,17000,577.95,578,575,577.9,10400,602500,7,Put,27,28.25,27,27.5,182350,4935400
25,23-09-2022 09:23,NIFTY,NFO,Options,29-Sep-22,Call,17000,578,585.95,574.25,581,17150,612800,8,Put,27.25,28.25,26.35,27.55,200400,5020650
26,23-09-2022 09:24,NIFTY,NFO,Options,29-Sep-22,Call,17000,578,581.35,575,581.35,27650,612800,9,Put,28.1,28.1,26.8,26.95,124250,5020650
27,23-09-2022 09:25,NIFTY,NFO,Options,29-Sep-22,Call,17000,579.85,595,579.85,589.7,1700,612800,10,Put,27.05,27.05,25.1,26.15,203600,5020650
28,23-09-2022 09:26,NIFTY,NFO,Options,29-Sep-22,Call,17000,589.55,593.65,580,593.65,1450,645150,11,Put,26.3,28.35,26.05,26.05,196900,5033250
29,23-09-2022 09:27,NIFTY,NFO,Options,29-Sep-22,Call,17000,592.35,604,591.85,591.85,5400,645150,12,Put,25.95,26.65,24.4,26.65,223500,5033250
30,23-09-2022 09:28,NIFTY,NFO,Options,29-Sep-22,Call,17000,591.25,591.25,580,580.4,1150,645150,13,Put,26.9,27.5,25.8,27.5,131050,5033250
31,23-09-2022 09:29,NIFTY,NFO,Options,29-Sep-22,Call,17000,577,577,570,570,1400,645850,14,Put,27.75,28.5,27.75,28.5,179850,5042450
32,23-09-2022 09:30,NIFTY,NFO,Options,29-Sep-22,Call,17000,564.4,564.4,546.9,546.9,5450,645850,15,Put,28.7,31.35,28.7,31.3,413500,5042450
33,23-09-2022 09:31,NIFTY,NFO,Options,29-Sep-22,Call,17000,545.4,549.55,537,543.2,7900,645850,16,Put,31.65,32.4,30.7,31.8,291250,5042450
34,23-09-2022 09:32,NIFTY,NFO,Options,29-Sep-22,Call,17000,544.2,547.4,537.85,537.85,4450,650350,17,Put,31.85,33.25,31.55,33.1,197450,5079800
35,23-09-2022 09:33,NIFTY,NFO,Options,29-Sep-22,Call,17000,540,546.05,537.85,546.05,6350,650350,18,Put,33.35,33.35,31.65,31.65,200600,5079800
36,23-09-2022 09:34,NIFTY,NFO,Options,29-Sep-22,Call,17000,543.9,543.9,532,532,2900,650350,19,Put,31.95,33.4,31.95,33.4,162200,5079800
37,23-09-2022 09:35,NIFTY,NFO,Options,29-Sep-22,Call,17000,530,531,525,525,24600,651650,20,Put,33.5,34.9,33.4,34.9,231750,5104550
38,23-09-2022 09:36,NIFTY,NFO,Options,29-Sep-22,Call,17000,524.35,528.35,521,521.95,40900,651650,21,Put,35.3,36,34.05,35.15,281350,5104550
39,23-09-2022 09:37,NIFTY,NFO,Options,29-Sep-22,Call,17000,520,522.55,513.2,522.55,19300,651650,22,Put,35.35,37.5,35.35,35.45,403050,5104550
40,23-09-2022 09:38,NIFTY,NFO,Options,29-Sep-22,Call,17000,522.4,529.25,514.25,514.25,8300,629500,23,Put,35.75,37.6,33.95,37.6,244650,5160800
41,23-09-2022 09:39,NIFTY,NFO,Options,29-Sep-22,Call,17000,515,515,506.3,507.1,8350,629500,24,Put,37.5,40.3,37.45,40.3,380700,5160800
42,23-09-2022 09:40,NIFTY,NFO,Options,29-Sep-22,Call,17000,504.45,522.2,504.45,520,8600,629500,25,Put,41.25,41.25,37.05,37.05,356350,5160800
43,23-09-2022 09:41,NIFTY,NFO,Options,29-Sep-22,Call,17000,520.5,525,508.55,525,5600,638000,26,Put,36.95,39.35,36.2,36.2,219300,5121650
44,23-09-2022 09:42,NIFTY,NFO,Options,29-Sep-22,Call,17000,523.1,523.1,511,512.4,3900,638000,27,Put,36.2,39.35,36.2,39.35,175900,5121650
45,23-09-2022 09:43,NIFTY,NFO,Options,29-Sep-22,Call,17000,509,517,509,512.95,1500,638000,28,Put,39.45,39.7,38.15,39.65,221900,5121650
46,23-09-2022 09:44,NIFTY,NFO,Options,29-Sep-22,Call,17000,510.9,519.8,510.9,512,5600,637100,29,Put,39.9,40.65,38.5,40.65,205400,5141150
47,23-09-2022 09:45,NIFTY,NFO,Options,29-Sep-22,Call,17000,510,510,492.7,494.75,11450,637100,30,Put,40.7,48.95,40.7,48.4,491750,5141150
48,23-09-2022 09:46,NIFTY,NFO,Options,29-Sep-22,Call,17000,495.1,507,495.1,500,4100,637100,31,Put,49.15,49.15,45.15,48.25,368050,5141150
49,23-09-2022 09:47,NIFTY,NFO,Options,29-Sep-22,Call,17000,500.65,506.55,500.1,502.35,2050,638650,32,Put,48.05,48.1,46.1,46.4,298850,5192650
50,23-09-2022 09:48,NIFTY,NFO,Options,29-Sep-22,Call,17000,500,510.3,499.35,510.3,5150,638650,33,Put,46.85,48,44.15,44.15,294550,5192650
51,23-09-2022 09:49,NIFTY,NFO,Options,29-Sep-22,Call,17000,509.05,509.05,490.3,490.4,9100,638650,34,Put,44.4,49.3,44.4,49.25,383100,5192650
52,23-09-2022 09:50,NIFTY,NFO,Options,29-Sep-22,Call,17000,494.15,500,493.15,497.2,2250,642600,35,Put,48.8,49.45,47,47.9,190200,5198950
53,23-09-2022 09:51,NIFTY,NFO,Options,29-Sep-22,Call,17000,497.1,505,497,505,7200,642600,36,Put,47.95,48.3,44.5,44.55,338850,5198950
54,23-09-2022 09:52,NIFTY,NFO,Options,29-Sep-22,Call,17000,506,515.25,500,505.7,7300,642600,37,Put,44.05,45.5,40.75,43.8,298750,5198950
55,23-09-2022 09:53,NIFTY,NFO,Options,29-Sep-22,Call,17000,505.95,518.6,505.95,516.65,5250,638500,38,Put,43.75,43.75,39.9,40.2,256450,5277050
56,23-09-2022 09:54,NIFTY,NFO,Options,29-Sep-22,Call,17000,514.85,520.8,506.95,510,6300,638500,39,Put,40.75,42.9,39.55,42.2,207800,5277050
57,23-09-2022 09:55,NIFTY,NFO,Options,29-Sep-22,Call,17000,510.9,515,507.8,515,1300,638500,40,Put,42.45,43.6,40.05,40.25,141500,5277050
58,23-09-2022 09:56,NIFTY,NFO,Options,29-Sep-22,Call,17000,518.9,520,514.5,520,4950,634050,41,Put,40.25,40.5,38.2,38.2,163500,5293350
59,23-09-2022 09:57,NIFTY,NFO,Options,29-Sep-22,Call,17000,521.35,530.7,521.35,526.95,6800,634050,42,Put,38.5,38.5,36.2,36.85,240250,5293350
60,23-09-2022 09:58,NIFTY,NFO,Options,29-Sep-22,Call,17000,527.4,529.2,518.8,528.35,5350,634050,43,Put,37.7,39.35,36.75,37.8,138900,5293350
61,23-09-2022 09:59,NIFTY,NFO,Options,29-Sep-22,Call,17000,528.05,528.05,515.75,520,1400,626150,44,Put,36.95,39.85,36.95,38.7,231700,5322650
62,23-09-2022 10:00,NIFTY,NFO,Options,29-Sep-22,Call,17000,516.6,516.6,502.4,502.4,4200,626150,45,Put,39.75,43.65,39.45,42.8,286950,5322650
63,23-09-2022 10:01,NIFTY,NFO,Options,29-Sep-22,Call,17000,502.8,513.65,497,513.65,3600,626150,46,Put,42.3,43.65,38.95,39.15,281300,5322650
64,23-09-2022 10:02,NIFTY,NFO,Options,29-Sep-22,Call,17000,520,527.15,513,527.15,8500,625350,47,Put,38.7,39.8,36.8,36.8,136900,5340300
65,23-09-2022 10:03,NIFTY,NFO,Options,29-Sep-22,Call,17000,527.6,532.4,527.6,530.25,2800,625350,48,Put,36.25,36.55,35.1,36.4,319400,5340300
66,23-09-2022 10:04,NIFTY,NFO,Options,29-Sep-22,Call,17000,526,526,515,515,9350,625350,49,Put,36.65,40.3,36.65,40.3,135500,5340300
67,23-09-2022 10:05,NIFTY,NFO,Options,29-Sep-22,Call,17000,511.35,522,508,522,6900,619750,50,Put,39.7,41.2,38,38.5,136700,5368700
68,23-09-2022 10:06,NIFTY,NFO,Options,29-Sep-22,Call,17000,520,525,519.95,519.95,5000,619750,51,Put,38.15,38.8,36.45,38.5,105050,5368700
69,23-09-2022 10:07,NIFTY,NFO,Options,29-Sep-22,Call,17000,520,520,514.4,517.65,3950,619750,52,Put,38.6,39.85,38,38.75,101800,5368700
70,23-09-2022 10:08,NIFTY,NFO,Options,29-Sep-22,Call,17000,516.6,522.2,513.15,520,750,621150,53,Put,38.75,39.75,37.15,38.75,78000,5411000
71,23-09-2022 10:09,NIFTY,NFO,Options,29-Sep-22,Call,17000,519,519,510,511.35,1400,621150,54,Put,38.6,41.3,38.6,40.45,161850,5411000
72,23-09-2022 10:10,NIFTY,NFO,Options,29-Sep-22,Call,17000,509.8,513.1,505,507.2,5500,621150,55,Put,41.05,42.05,39.85,41.2,159100,5411000
73,23-09-2022 10:11,NIFTY,NFO,Options,29-Sep-22,Call,17000,506.35,511.85,500.8,500.8,1050,625550,56,Put,41.65,42.75,40.45,42.75,193450,5450100
74,23-09-2022 10:12,NIFTY,NFO,Options,29-Sep-22,Call,17000,501.35,509.75,500,505,3600,625550,57,Put,42.35,42.4,40.7,41.8,113950,5450100
75,23-09-2022 10:13,NIFTY,NFO,Options,29-Sep-22,Call,17000,507.6,510,505,505.95,1800,625550,58,Put,41.75,42,40.55,42,127450,5450100
76,23-09-2022 10:14,NIFTY,NFO,Options,29-Sep-22,Call,17000,503,505,500.1,502.25,2400,629150,59,Put,42.35,42.9,42,42.5,116700,5490550
77,23-09-2022 10:15,NIFTY,NFO,Options,29-Sep-22,Call,17000,500,500,495.7,497.7,950,629150,60,Put,42.3,44.7,42.3,44.3,225750,5490550
78,23-09-2022 10:16,NIFTY,NFO,Options,29-Sep-22,Call,17000,499.8,501.55,495.75,496.65,1100,629150,61,Put,44.2,44.8,43.45,44.5,142800,5490550
79,23-09-2022 10:17,NIFTY,NFO,Options,29-Sep-22,Call,17000,496,496,475,475,14000,632200,62,Put,44.6,49.65,44.6,49.5,308300,5500050
80,23-09-2022 10:18,NIFTY,NFO,Options,29-Sep-22,Call,17000,475.95,480.55,469.8,469.8,6350,632200,63,Put,49.75,51.7,48.45,50.65,403700,5500050
81,23-09-2022 10:19,NIFTY,NFO,Options,29-Sep-22,Call,17000,472.1,477.75,469.6,476.8,13000,632200,64,Put,50.85,51.85,49.3,49.35,326800,5500050
82,23-09-2022 10:20,NIFTY,NFO,Options,29-Sep-22,Call,17000,474.65,483.15,470,483.15,2900,641950,65,Put,49.75,51.3,47.55,47.9,271000,5388800
83,23-09-2022 10:21,NIFTY,NFO,Options,29-Sep-22,Call,17000,483.3,490.65,478.75,490.65,4100,641950,66,Put,48.3,48.9,45,45,206800,5388800
84,23-09-2022 10:22,NIFTY,NFO,Options,29-Sep-22,Call,17000,491.3,497.35,488,495.6,3850,641950,67,Put,44.5,46,43.55,43.55,197000,5388800
85,23-09-2022 10:23,NIFTY,NFO,Options,29-Sep-22,Call,17000,494,495.6,491.5,491.5,1950,638200,68,Put,43.9,45.45,43.55,44.8,136350,5428850
86,23-09-2022 10:24,NIFTY,NFO,Options,29-Sep-22,Call,17000,491.05,503,490,500.25,11050,638200,69,Put,44.4,45.5,41.6,42.85,186800,5428850
87,23-09-2022 10:25,NIFTY,NFO,Options,29-Sep-22,Call,17000,500,503.25,491.5,503.25,1050,638200,70,Put,42.55,45.45,42.05,42.7,153450,5428850
88,23-09-2022 10:26,NIFTY,NFO,Options,29-Sep-22,Call,17000,503,505,500.15,505,2900,636500,71,Put,42.3,43,41.6,41.6,117250,5457100
89,23-09-2022 10:27,NIFTY,NFO,Options,29-Sep-22,Call,17000,505,510,502.9,506.05,4550,636500,72,Put,41.7,42.3,40.15,41.3,207600,5457100
90,23-09-2022 10:28,NIFTY,NFO,Options,29-Sep-22,Call,17000,509.15,509.2,500,500,2450,636500,73,Put,40.6,43.55,40.6,42.75,100500,5457100
91,23-09-2022 10:29,NIFTY,NFO,Options,29-Sep-22,Call,17000,500,503,497.55,498.2,2650,630050,74,Put,43.25,43.55,41.8,43.3,101150,5468800
92,23-09-2022 10:30,NIFTY,NFO,Options,29-Sep-22,Call,17000,498.2,498.2,488,490,4350,630050,75,Put,43.7,46,43.3,45.2,128650,5468800
93,23-09-2022 10:31,NIFTY,NFO,Options,29-Sep-22,Call,17000,491.05,498.1,489.35,498.1,1350,630050,76,Put,45.3,46,43.5,43.8,124200,5468800
94,23-09-2022 10:32,NIFTY,NFO,Options,29-Sep-22,Call,17000,500.15,507.55,500,503.95,2300,633400,77,Put,43.7,43.7,41.6,42.55,102150,5468700
95,23-09-2022 10:33,NIFTY,NFO,Options,29-Sep-22,Call,17000,501,502.6,495.15,502,1500,633400,78,Put,43.05,44.4,42.7,43.1,72550,5468700
96,23-09-2022 10:34,NIFTY,NFO,Options,29-Sep-22,Call,17000,495.15,510,495.15,509,2000,633400,79,Put,43.2,44.25,40.4,40.95,124050,5468700
97,23-09-2022 10:35,NIFTY,NFO,Options,29-Sep-22,Call,17000,509.1,515,505,515,2700,632450,80,Put,41.25,42.1,39.4,39.55,173300,5512600
98,23-09-2022 10:36,NIFTY,NFO,Options,29-Sep-22,Call,17000,517,520,516,517.65,9000,632450,81,Put,39.05,39.05,37.85,38,189600,5512600
99,23-09-2022 10:37,NIFTY,NFO,Options,29-Sep-22,Call,17000,520,520.4,511.45,511.45,1650,632450,82,Put,37.75,39.95,37.35,39.7,113850,5512600
100,23-09-2022 10:38,NIFTY,NFO,Options,29-Sep-22,Call,17000,510,510,504,505.55,4150,634150,83,Put,40.35,41.5,39.55,41.25,105900,5532050
101,23-09-2022 10:39,NIFTY,NFO,Options,29-Sep-22,Call,17000,505,505,503.95,503.95,1050,634150,84,Put,41.4,41.85,40.6,40.6,91100,5532050
