datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
26-04-2024 09:15,NIFTY,NFO,Futures,30-May-24,Others,0,22700,22700,22654.05,22673.15,138925,11455550,0
26-04-2024 09:16,NIFTY,NFO,Futures,30-May-24,Others,0,22675,22688,22675,22680.1,67500,11455550,1
26-04-2024 09:17,NIFTY,NFO,Futures,30-May-24,Others,0,22680,22684.55,22678.1,22678.9,44600,11455550,2
26-04-2024 09:18,NIFTY,NFO,Futures,30-May-24,Others,0,22678.8,22684.8,22677.6,22680,40525,11423425,3
26-04-2024 09:19,NIFTY,NFO,Futures,30-May-24,Others,0,22680,22680.5,22671.1,22672.1,41425,11423425,4
26-04-2024 09:20,NIFTY,NFO,Futures,30-May-24,Others,0,22672.95,22673,22666.9,22673,46500,11423425,5
26-04-2024 09:21,NIFTY,NFO,Futures,30-May-24,Others,0,22673.3,22684,22673.3,22680.15,28875,11446725,6
26-04-2024 09:22,NIFTY,NFO,Futures,30-May-24,Others,0,22680.2,22685,22678.75,22682.75,17225,11446725,7
26-04-2024 09:23,NIFTY,NFO,Futures,30-May-24,Others,0,22682.9,22684.9,22677,22678.5,11050,11446725,8
26-04-2024 09:24,NIFTY,NFO,Futures,30-May-24,Others,0,22678.05,22678.65,22676.05,22677.8,13600,11460025,9
26-04-2024 09:25,NIFTY,NFO,Futures,30-May-24,Others,0,22677.75,22677.75,22667.1,22668.15,17200,11460025,10
26-04-2024 09:26,NIFTY,NFO,Futures,30-May-24,Others,0,22665.95,22678.05,22664.95,22677.15,24525,11460025,11
26-04-2024 09:27,NIFTY,NFO,Futures,30-May-24,Others,0,22677.05,22687.95,22676.1,22687.45,39675,11465250,12
26-04-2024 09:28,NIFTY,NFO,Futures,30-May-24,Others,0,22686.05,22691.95,22686.05,22690,42125,11465250,13
26-04-2024 09:29,NIFTY,NFO,Futures,30-May-24,Others,0,22690.9,22691.95,22689,22690.25,24250,11465250,14
26-04-2024 09:30,NIFTY,NFO,Futures,30-May-24,Others,0,22692.75,22692.85,22689,22691.75,21175,11487650,15
26-04-2024 09:31,NIFTY,NFO,Futures,30-May-24,Others,0,22691.2,22691.9,22685,22687.55,18075,11487650,16
26-04-2024 09:32,NIFTY,NFO,Futures,30-May-24,Others,0,22687.1,22687.1,22668.8,22672.65,31600,11487650,17
26-04-2024 09:33,NIFTY,NFO,Futures,30-May-24,Others,0,22671.15,22679.95,22671.15,22679.6,19500,11515275,18
26-04-2024 09:34,NIFTY,NFO,Futures,30-May-24,Others,0,22678.1,22679.5,22668.85,22671.45,27550,11515275,19
26-04-2024 09:35,NIFTY,NFO,Futures,30-May-24,Others,0,22671.45,22677.9,22671.45,22675.95,16100,11515275,20
26-04-2024 09:36,NIFTY,NFO,Futures,30-May-24,Others,0,22675.8,22677,22670,22677,35750,11554050,21
26-04-2024 09:37,NIFTY,NFO,Futures,30-May-24,Others,0,22675.6,22684,22675.6,22681.4,20375,11554050,22
26-04-2024 09:38,NIFTY,NFO,Futures,30-May-24,Others,0,22683.4,22689.95,22683.4,22689.95,19875,11554050,23
26-04-2024 09:39,NIFTY,NFO,Futures,30-May-24,Others,0,22689.5,22694.95,22688.1,22694.85,27000,11562450,24
26-04-2024 09:40,NIFTY,NFO,Futures,30-May-24,Others,0,22693,22699,22691.25,22695,21475,11562450,25
26-04-2024 09:41,NIFTY,NFO,Futures,30-May-24,Others,0,22695,22697,22692.1,22693.65,18625,11562450,26
26-04-2024 09:42,NIFTY,NFO,Futures,30-May-24,Others,0,22693.55,22695.6,22687.55,22687.55,10325,11548175,27
26-04-2024 09:43,NIFTY,NFO,Futures,30-May-24,Others,0,22690.95,22695,22690.6,22694.6,9850,11548175,28
26-04-2024 09:44,NIFTY,NFO,Futures,30-May-24,Others,0,22694.7,22695,22681.45,22689,23925,11548175,29
26-04-2024 09:45,NIFTY,NFO,Futures,30-May-24,Others,0,22689.95,22694,22685,22685.05,10725,11542875,30
26-04-2024 09:46,NIFTY,NFO,Futures,30-May-24,Others,0,22685,22692,22685,22688.45,10300,11542875,31
26-04-2024 09:47,NIFTY,NFO,Futures,30-May-24,Others,0,22687.45,22688.3,22685.55,22687.45,4250,11542875,32
26-04-2024 09:48,NIFTY,NFO,Futures,30-May-24,Others,0,22687,22687,22682,22684.6,11950,11551600,33
26-04-2024 09:49,NIFTY,NFO,Futures,30-May-24,Others,0,22684.05,22685.45,22677.45,22679,11850,11551600,34
26-04-2024 09:50,NIFTY,NFO,Futures,30-May-24,Others,0,22678.6,22680.8,22665.9,22671.95,18450,11551600,35
26-04-2024 09:51,NIFTY,NFO,Futures,30-May-24,Others,0,22670,22670.9,22661.5,22670.9,17225,11572800,36
26-04-2024 09:52,NIFTY,NFO,Futures,30-May-24,Others,0,22669.75,22675.55,22666.3,22673,13150,11572800,37
26-04-2024 09:53,NIFTY,NFO,Futures,30-May-24,Others,0,22673,22675.75,22670,22674.4,11750,11572800,38
26-04-2024 09:54,NIFTY,NFO,Futures,30-May-24,Others,0,22674,22679.6,22674,22676.7,19475,11585950,39
26-04-2024 09:55,NIFTY,NFO,Futures,30-May-24,Others,0,22676.7,22678.8,22672.25,22673.8,16700,11585950,40
26-04-2024 09:56,NIFTY,NFO,Futures,30-May-24,Others,0,22674.4,22679.9,22673.05,22678.85,17550,11585950,41
26-04-2024 09:57,NIFTY,NFO,Futures,30-May-24,Others,0,22679,22680,22675.05,22676,13875,11473100,42
26-04-2024 09:58,NIFTY,NFO,Futures,30-May-24,Others,0,22676.45,22677.8,22672.6,22675,11900,11473100,43
26-04-2024 09:59,NIFTY,NFO,Futures,30-May-24,Others,0,22675.75,22677.7,22671.65,22672.9,16875,11473100,44
26-04-2024 10:00,NIFTY,NFO,Futures,30-May-24,Others,0,22675,22678,22673.3,22675.2,8300,11481600,45
26-04-2024 10:01,NIFTY,NFO,Futures,30-May-24,Others,0,22675.65,22678,22665,22668.35,29350,11481600,46
26-04-2024 10:02,NIFTY,NFO,Futures,30-May-24,Others,0,22669,22669,22661.5,22663.8,10800,11481600,47
26-04-2024 10:03,NIFTY,NFO,Futures,30-May-24,Others,0,22663.8,22663.8,22651.2,22660,24425,11504525,48
26-04-2024 10:04,NIFTY,NFO,Futures,30-May-24,Others,0,22658,22660,22651.2,22653,15075,11504525,49
26-04-2024 10:05,NIFTY,NFO,Futures,30-May-24,Others,0,22652.9,22657.5,22650,22654,14925,11504525,50
26-04-2024 10:06,NIFTY,NFO,Futures,30-May-24,Others,0,22654,22654,22639.95,22640,39150,11508150,51
26-04-2024 10:07,NIFTY,NFO,Futures,30-May-24,Others,0,22640,22644.75,22635.2,22637.7,24175,11508150,52
26-04-2024 10:08,NIFTY,NFO,Futures,30-May-24,Others,0,22637.65,22637.65,22624.55,22629.65,44175,11508150,53
26-04-2024 10:09,NIFTY,NFO,Futures,30-May-24,Others,0,22629.45,22639.95,22629,22629,25325,11485975,54
26-04-2024 10:10,NIFTY,NFO,Futures,30-May-24,Others,0,22630,22642.9,22628.5,22640.35,19900,11485975,55
26-04-2024 10:11,NIFTY,NFO,Futures,30-May-24,Others,0,22639.65,22639.75,22630.05,22632.95,13300,11485975,56
26-04-2024 10:12,NIFTY,NFO,Futures,30-May-24,Others,0,22634.9,22640.05,22632.45,22640,18125,11494575,57
26-04-2024 10:13,NIFTY,NFO,Futures,30-May-24,Others,0,22641,22641.6,22630.7,22631.2,18275,11494575,58
26-04-2024 10:14,NIFTY,NFO,Futures,30-May-24,Others,0,22630.25,22639.75,22625.4,22637.65,19700,11494575,59
26-04-2024 10:15,NIFTY,NFO,Futures,30-May-24,Others,0,22637.65,22648.9,22634.85,22643,17200,11521525,60
26-04-2024 10:16,NIFTY,NFO,Futures,30-May-24,Others,0,22642.85,22648,22642.85,22646.7,12650,11521525,61
26-04-2024 10:17,NIFTY,NFO,Futures,30-May-24,Others,0,22646.4,22654,22646.4,22648,15875,11521525,62
26-04-2024 10:18,NIFTY,NFO,Futures,30-May-24,Others,0,22650.05,22650.05,22635.75,22635.75,10375,11533400,63
26-04-2024 10:19,NIFTY,NFO,Futures,30-May-24,Others,0,22635,22641.95,22626.05,22641.95,11825,11533400,64
26-04-2024 10:20,NIFTY,NFO,Futures,30-May-24,Others,0,22635.8,22639.1,22630.6,22636.1,4700,11533400,65
26-04-2024 10:21,NIFTY,NFO,Futures,30-May-24,Others,0,22633.4,22636.2,22630,22633.65,4500,11538625,66
26-04-2024 10:22,NIFTY,NFO,Futures,30-May-24,Others,0,22633.65,22642.7,22631.1,22638.35,5550,11538625,67
26-04-2024 10:23,NIFTY,NFO,Futures,30-May-24,Others,0,22638.05,22640,22625.55,22629,8450,11538625,68
26-04-2024 10:24,NIFTY,NFO,Futures,30-May-24,Others,0,22632,22635,22628.05,22630,5325,11542725,69
26-04-2024 10:25,NIFTY,NFO,Futures,30-May-24,Others,0,22632,22633.9,22628.05,22630,7650,11542725,70
26-04-2024 10:26,NIFTY,NFO,Futures,30-May-24,Others,0,22632,22632,22628.5,22629,5150,11542725,71
26-04-2024 10:27,NIFTY,NFO,Futures,30-May-24,Others,0,22629,22630.3,22615.05,22615.05,28500,11544700,72
26-04-2024 10:28,NIFTY,NFO,Futures,30-May-24,Others,0,22615.05,22624,22612.35,22622.75,21250,11544700,73
26-04-2024 10:29,NIFTY,NFO,Futures,30-May-24,Others,0,22622.8,22636.4,22622.75,22634.8,13550,11544700,74
26-04-2024 10:30,NIFTY,NFO,Futures,30-May-24,Others,0,22634.7,22634.7,22625,22627.45,7050,11531500,75
26-04-2024 10:31,NIFTY,NFO,Futures,30-May-24,Others,0,22627.45,22629.45,22622.75,22629.2,6575,11531500,76
26-04-2024 10:32,NIFTY,NFO,Futures,30-May-24,Others,0,22626.3,22636,22626.3,22632.4,8000,11531500,77
26-04-2024 10:33,NIFTY,NFO,Futures,30-May-24,Others,0,22630,22631.5,22624.3,22625.8,4400,11528450,78
26-04-2024 10:34,NIFTY,NFO,Futures,30-May-24,Others,0,22625,22627.3,22620,22621.1,7275,11528450,79
26-04-2024 10:35,NIFTY,NFO,Futures,30-May-24,Others,0,22620,22627.25,22618,22624.85,7975,11528450,80
26-04-2024 10:36,NIFTY,NFO,Futures,30-May-24,Others,0,22624.6,22624.6,22614.5,22622.2,19425,11529300,81
26-04-2024 10:37,NIFTY,NFO,Futures,30-May-24,Others,0,22622.2,22624.4,22615,22622.5,11725,11529300,82
26-04-2024 10:38,NIFTY,NFO,Futures,30-May-24,Others,0,22622.45,22629.4,22622.4,22629.4,7750,11529300,83
26-04-2024 10:39,NIFTY,NFO,Futures,30-May-24,Others,0,22627.9,22628.4,22614.7,22619.6,13075,11533700,84
26-04-2024 10:40,NIFTY,NFO,Futures,30-May-24,Others,0,22619.3,22627.9,22618,22625,13125,11533700,85
26-04-2024 10:41,NIFTY,NFO,Futures,30-May-24,Others,0,22628.4,22639.15,22628,22635,17525,11533700,86
26-04-2024 10:42,NIFTY,NFO,Futures,30-May-24,Others,0,22634,22635,22627.7,22629,7200,11533200,87
26-04-2024 10:43,NIFTY,NFO,Futures,30-May-24,Others,0,22629.05,22637.55,22627.75,22633.95,7775,11533200,88
26-04-2024 10:44,NIFTY,NFO,Futures,30-May-24,Others,0,22636,22636,22631.4,22634,6150,11533200,89
26-04-2024 10:45,NIFTY,NFO,Futures,30-May-24,Others,0,22633.25,22639.9,22631,22639.9,7900,11534600,90
26-04-2024 10:46,NIFTY,NFO,Futures,30-May-24,Others,0,22642,22642.65,22635.1,22635.1,11275,11534600,91
26-04-2024 10:47,NIFTY,NFO,Futures,30-May-24,Others,0,22635.1,22638.5,22634,22638.2,2800,11534600,92
26-04-2024 10:48,NIFTY,NFO,Futures,30-May-24,Others,0,22636.1,22638.7,22635.55,22638.7,3975,11536350,93
26-04-2024 10:49,NIFTY,NFO,Futures,30-May-24,Others,0,22637.7,22638.95,22632.9,22638.75,8100,11536350,94
26-04-2024 10:50,NIFTY,NFO,Futures,30-May-24,Others,0,22639.05,22639.1,22632,22634.75,5175,11536350,95
26-04-2024 10:51,NIFTY,NFO,Futures,30-May-24,Others,0,22633.15,22641.9,22633.15,22639.9,7175,11544575,96
26-04-2024 10:52,NIFTY,NFO,Futures,30-May-24,Others,0,22638.05,22643,22638.05,22640,6350,11544575,97
26-04-2024 10:53,NIFTY,NFO,Futures,30-May-24,Others,0,22641.95,22647.35,22638.05,22644.65,8650,11544575,98
26-04-2024 10:54,NIFTY,NFO,Futures,30-May-24,Others,0,22644.65,22648.7,22644.6,22646,9175,11548450,99
26-04-2024 10:55,NIFTY,NFO,Futures,30-May-24,Others,0,22645,22651.9,22644.9,22650.15,15050,11548450,100
26-04-2024 10:56,NIFTY,NFO,Futures,30-May-24,Others,0,22646.75,22654.7,22646.05,22651.1,7600,11548450,101
